team,player,position,scoring_weight,starter,penalty_taker
Congo DR,Théo Bongonda,MF,65.03,1,0
Congo DR,Gaël Kakuta,FW,89.55,0,0
Congo DR,Joris Kayembe,DF,36.68,0,0
Congo DR,Meschak Elia,FW,74.96,0,0
Congo DR,Noah Sadiki,MF,65.16,1,0
Congo DR,Aaron Tshibola,MF,56.29,0,0
Congo DR,Timothy Fayulu,GK,23.13,0,0
Congo DR,Cédric Bakambu,FW,98.9,1,1
Congo DR,Charles Pickel,MF,63.02,0,0
Congo DR,Fiston Mayele,FW,93.41,1,0
Congo DR,Yoane Wissa,FW,98.01,1,0
Congo DR,Matthieu Epolo,GK,25.82,1,0
Congo DR,Chancel Mbemba,DF,44.7,1,0
Congo DR,Simon Banza,FW,92.92,0,0
Congo DR,Gédéon Kalulu,DF,35.58,0,0
Congo DR,Edo Kayembe,MF,64.98,1,0
Congo DR,Arthur Masuaku,DF,39.7,1,0
Portugal,Diogo Costa,GK,34.22,1,0
Portugal,Nélson Semedo,DF,40.93,0,0
Portugal,Rúben Dias,DF,48.37,1,0
Portugal,Tomás Araújo,DF,37.93,0,0
Portugal,Diogo Dalot,DF,42.32,0,0
Portugal,Matheus Nunes,MF,66.18,0,0
Portugal,Cristiano Ronaldo,FW,105.5,1,1
Portugal,Bruno Fernandes,MF,77.21,1,0
Portugal,Gonçalo Ramos,FW,96.82,0,0
Portugal,Bernardo Silva,MF,75.12,1,0
Portugal,João Félix,FW,100.25,1,0
Portugal,José Sá,GK,25.62,0,0
Portugal,Renato Veiga,DF,38.86,0,0
Portugal,Gonçalo Inácio,DF,40.95,0,0
Portugal,João Neves,MF,68.3,0,0
Portugal,Francisco Trincão,FW,95.51,0,0
Portugal,Rafael Leão,FW,99.34,1,0
Portugal,Pedro Neto,FW,96.78,0,0
Portugal,Gonçalo Guedes,FW,94.97,0,0
Portugal,João Cancelo,DF,46.5,1,0
Portugal,Rúben Neves,MF,70.54,1,0
Portugal,Rui Silva,GK,26.48,0,0
Portugal,Vitinha,MF,69.61,1,0
Portugal,Samú Costa,DF,36.95,0,0
Portugal,Nuno Mendes,DF,44.68,1,0
Portugal,Francisco Conceição,FW,94.8,0,0
Uzbekistan,Utkir Yusupov,GK,26.83,1,0
Uzbekistan,Abdukodir Khusanov,DF,41.6,1,0
Uzbekistan,Khojiakbar Alijonov,DF,15.4,0,0
Uzbekistan,Farrukh Sayfiev,DF,35.52,0,0
Uzbekistan,Rustam Ashurmatov,DF,37.82,1,0
Uzbekistan,Akmal Mozgovoy,MF,60.85,0,0
Uzbekistan,Otabek Shukurov,MF,69.69,1,0
Uzbekistan,Jamshid Iskanderov,MF,62.6,1,0
Uzbekistan,Odiljon Hamrobekov,MF,44.13,0,0
Uzbekistan,Jaloliddin Masharipov,MF,68.98,1,0
Uzbekistan,Oston Urunov,MF,65.55,1,0
Uzbekistan,Abduvohid Nematov,GK,1.99,0,0
Uzbekistan,Sherzod Nasrullaev,DF,36.57,1,0
Uzbekistan,Eldor Shomurodov,FW,104.63,1,1
Uzbekistan,Umar Eshmurodov,DF,34.43,0,0
Uzbekistan,Botirali Ergashev,GK,22.26,0,0
Uzbekistan,Dostonbek Khamdamov,MF,62.16,0,0
Uzbekistan,Abdulla Abdullaev,DF,33.11,0,0
Uzbekistan,Azizjon Ganiev,MF,37.35,0,0
Uzbekistan,Azizbek Amonov,FW,66.74,0,0
Uzbekistan,Igor Sergeev,FW,100.4,1,0
Uzbekistan,Abbosbek Fayzullaev,MF,65.87,1,0
Uzbekistan,Sherzod Esanov,MF,55.96,0,0
Uzbekistan,Bekhruz Karimov,DF,30.68,0,0
Uzbekistan,Avazbek Ulmasaliev,DF,31.01,0,0
Uzbekistan,Jakhongir Urozov,DF,31.67,0,0
Croatia,Dominik Livaković,GK,34.49,1,0
Croatia,Josip Stanišić,DF,41.74,1,0
Croatia,Marin Pongračić,DF,37.47,0,0
Croatia,Joško Gvardiol,DF,45.64,1,0
Croatia,Duje Ćaleta-Car,DF,38.8,0,0
Croatia,Josip Šutalo,DF,40.06,1,0
Croatia,Nikola Moro,MF,61.47,0,0
Croatia,Mateo Kovačić,MF,71.83,1,0
Croatia,Andrej Kramarić,FW,102.98,1,0
Croatia,Luka Modrić,MF,73.52,1,0
Croatia,Ante Budimir,FW,94.23,0,0
Croatia,Ivor Pandur,GK,25.53,0,0
Croatia,Nikola Vlašić,MF,70.73,1,0
Croatia,Ivan Perišić,FW,101.81,1,1
Croatia,Mario Pašalić,MF,72.36,1,0
Croatia,Martin Baturina,MF,65.02,0,0
Croatia,Petar Sučić,MF,65.23,1,0
Croatia,Kristijan Jakić,DF,37.54,0,0
Croatia,Toni Fruk,MF,61.73,0,0
Croatia,Igor Matanović,FW,93.31,0,0
Croatia,Luka Sučić,MF,63.5,0,0
Croatia,Luka Vušković,DF,39.52,0,0
Croatia,Dominik Kotarski,GK,26.19,0,0
Croatia,Marco Pašalić,FW,91.98,0,0
Croatia,Martin Erlić,DF,36.05,0,0
Croatia,Petar Musa,FW,92.59,0,0
England,Jordan Pickford,GK,37.12,1,0
England,Ezri Konsa,DF,40.48,0,0
England,Nico O'Reilly,DF,39.29,0,0
England,Declan Rice,MF,75.04,1,0
England,John Stones,DF,46.67,1,0
England,Marc Guéhi,DF,42.49,1,0
England,Bukayo Saka,FW,102.38,1,0
England,Elliot Anderson,MF,64.9,0,0
England,Harry Kane,FW,108.07,1,1
England,Jude Bellingham,MF,72.07,1,0
England,Marcus Rashford,FW,104.0,1,0
England,Tino Livramento,DF,38.83,0,0
England,Dean Henderson,GK,28.95,0,0
England,Jordan Henderson,MF,67.98,1,0
England,Dan Burn,DF,35.08,0,0
England,Kobbie Mainoo,MF,65.4,0,0
England,Morgan Rogers,MF,66.16,0,0
England,Anthony Gordon,FW,96.16,0,0
England,Ollie Watkins,FW,95.52,0,0
England,Noni Madueke,FW,94.75,0,0
England,Eberechi Eze,MF,66.46,1,0
England,Ivan Toney,FW,92.91,0,0
England,James Trafford,GK,28.39,0,0
England,Reece James,DF,41.62,1,0
England,Djed Spence,DF,38.06,0,0
England,Jarell Quansah,DF,38.34,0,0
Ghana,Lawrence Ati-Zigi,GK,27.36,1,0
Ghana,Alidu Seidu,DF,38.18,1,0
Ghana,Caleb Yirenkyi,MF,62.39,1,0
Ghana,Jonas Adjetey,DF,36.22,0,0
Ghana,Thomas Partey,MF,69.01,1,0
Ghana,Abdul Mumin,DF,34.96,0,0
Ghana,Abdul Fatawu,FW,95.76,1,0
Ghana,Kwasi Sibo,MF,58.76,0,0
Ghana,Jordan Ayew,FW,101.39,1,1
Ghana,Brandon Thomas-Asante,FW,92.68,0,0
Ghana,Antoine Semenyo,MF,69.02,1,0
Ghana,Joseph Anang,GK,21.17,0,0
Ghana,Christopher Bonsu Baah,FW,92.21,0,0
Ghana,Gideon Mensah,DF,39.29,1,0
Ghana,Elisha Owusu,MF,61.81,1,0
Ghana,Benjamin Asare,GK,20.79,0,0
Ghana,Abdul Rahman Baba,DF,39.76,1,0
Ghana,Jerome Opoku,DF,36.28,0,0
Ghana,Iñaki Williams,FW,94.28,0,0
Ghana,Augustine Boakye,MF,59.99,0,0
Ghana,Kojo Peprah Oppong,DF,36.3,0,0
Ghana,Kamaldeen Sulemana,FW,95.25,1,0
Ghana,Derrick Luckassen,DF,32.24,0,0
Ghana,Ernest Nuamah,FW,93.55,0,0
Ghana,Prince Kwabena Adu,FW,65.62,0,0
Ghana,Marvin Senaya,DF,34.12,0,0
Panama,Luis Mejía,GK,27.01,0,0
Panama,César Blackman,DF,38.96,1,0
Panama,José Córdoba,DF,38.76,0,0
Panama,Fidel Escobar,DF,41.24,1,0
Panama,Edgardo Fariña,DF,33.93,0,0
Panama,Cristian Martínez,MF,65.03,1,0
Panama,José Luis Rodríguez,MF,68.8,1,0
Panama,Adalberto Carrasquilla,MF,69.05,1,0
Panama,Tomás Rodríguez,FW,88.99,0,0
Panama,Ismael Díaz,MF,68.69,1,1
Panama,Yoel Bárcenas,MF,68.58,1,0
Panama,César Samudio,GK,21.39,0,0
Panama,Jiovany Ramos,DF,33.66,0,0
Panama,Carlos Harvey,DF,35.19,0,0
Panama,Eric Davis,DF,39.25,1,0
Panama,Andrés Andrade,DF,39.75,1,0
Panama,José Fajardo,FW,96.51,1,0
Panama,Cecilio Waterman,FW,93.8,0,0
Panama,Alberto Quintero,MF,64.45,0,0
Panama,Aníbal Godoy,MF,64.23,0,0
Panama,César Yanis,MF,63.37,0,0
Panama,Orlando Mosquera,GK,28.24,1,0
Panama,Michael Amir Murillo,DF,21.93,0,0
Panama,Azarias Londoño,FW,88.36,0,0
Panama,Roderick Miller,DF,36.05,0,0
Panama,Jorge Gutiérrez,DF,33.86,0,0
